#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.8148999214172	-15.818084981700
4.8158001899719	-15.819333032224
4.8166999816895	-15.821004886253
4.8175997734070	-15.823102672985
4.8185000419617	-15.825624739963
4.8193998336792	-15.828574595557
4.8203001022339	-15.831953128936
4.8211998939514	-15.835761701817
4.8221001625061	-15.840000069935
4.8229999542236	-15.844670413262
4.8239002227783	-15.849773507228
4.8248000144958	-15.855309707273
4.8256998062134	-15.861280419053
4.8266000747681	-15.867687750613
4.8274998664856	-15.874532015961
4.8284001350403	-15.881812334340
4.8292999267578	-15.889531487197
4.8302001953125	-15.897690399567
4.8310999870300	-15.906288888493
4.8319997787476	-15.915329856517
4.8329000473022	-15.924811304917
4.8337998390198	-15.934736740610
4.8347001075745	-15.945103355296
4.8355998992920	-15.955915639688
