#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.7119998931885	-21.970445759710
4.7150001525879	-21.887911037878
4.7179999351501	-21.807908098659
4.7210001945496	-21.730412580180
4.7239999771118	-21.655389135784
4.7270002365112	-21.582791996039
4.7300000190735	-21.512563960904
4.7329998016357	-21.444641142737
4.7360000610352	-21.378949523704
4.7389998435974	-21.315406348396
4.7420001029968	-21.253927132233
4.7449998855591	-21.194416643910
4.7480001449585	-21.136779015567
4.7509999275208	-21.080912872956
4.7540001869202	-21.026716427798
4.7569999694824	-20.974087341511
4.7600002288818	-20.922925702560
4.7630000114441	-20.873129668349
4.7659997940063	-20.824605651944
4.7690000534058	-20.777262325166
4.7719998359680	-20.731014409444
4.7750000953674	-20.685784213735
4.7779998779297	-20.641501924077
4.7810001373291	-20.598105233684
4.7839999198914	-20.555541379101
4.7870001792908	-20.513769303957
4.7899999618530	-20.472756805699
4.7930002212524	-20.432479166842
4.7960000038147	-20.392924196473
4.7989997863770	-20.354090177411
4.8020000457764	-20.315981854937
4.8049998283386	-20.278613540633
4.8080000877380	-20.242007300757
4.8109998703003	-20.206191602472
4.8140001296997	-20.171200762308
4.8169999122620	-20.137071791053
4.8200001716614	-20.103848191691
4.8229999542236	-20.071573603559
4.8260002136230	-20.040288752820
4.8289999961853	-20.010041327578
4.8319997787476	-19.980872564265
4.8350000381470	-19.952818732989
4.8379998207092	-19.925915447578
4.8410000801086	-19.900193717086
4.8439998626709	-19.875677018346
4.8470001220703	-19.852382685142
4.8499999046326	-19.830319736530
4.8530001640320	-19.809493271485
4.8559999465942	-19.789899128017
4.8590002059937	-19.771521993875
4.8619999885559	-19.754342829442
4.8649997711182	-19.738336639287
4.8680000305176	-19.723467740758
4.8709998130798	-19.709695362545
4.8740000724792	-19.696976353962
4.8769998550415	-19.685259797343
4.8800001144409	-19.674491436966
4.8829998970032	-19.664617166038
4.8860001564026	-19.655581385538
4.8889999389648	-19.647328360147
4.8920001983643	-19.639804522609
4.8949999809265	-19.632960663122
4.8979997634888	-19.626748650654
4.9010000228882	-19.621130177172
4.9039998054504	-19.616072183284
4.9070000648499	-19.611551803708
4.9099998474121	-19.607554271721
4.9130001068115	-19.604073877797
4.9159998893738	-19.601117936574
4.9190001487732	-19.598705514645
4.9219999313354	-19.596865826027
4.9250001907349	-19.595640154505
4.9279999732971	-19.595081831708
4.9310002326965	-19.595256292792
4.9340000152588	-19.596239943334
4.9369997978210	-19.598118088906
4.9400000572205	-19.600985310034
4.9429998397827	-19.604948459689
4.9460000991821	-19.610114796262
4.9489998817444	-19.616603648602
4.9520001411438	-19.624536665396
4.9549999237061	-19.634038954495
4.9580001831055	-19.645238795499
4.9609999656677	-19.658263996122
4.9640002250671	-19.673242819213
4.9670000076294	-19.690300927547
4.9699997901917	-19.709565644969
4.9730000495911	-19.731155576097
4.9759998321533	-19.755187242454
4.9790000915527	-19.781771143527
4.9819998741150	-19.811015011854
4.9850001335144	-19.843016404674
4.9879999160767	-19.877869554145
4.9910001754761	-19.915662938671
4.9939999580383	-19.956474505721
4.9970002174377	-20.000379463877
